doy,clim_mean,p90,n_obs
1,28.507614,29.207855224609375,651
2,28.511341,29.226789474487305,651
3,28.514595,29.246784210205078,651
4,28.515577,29.249645233154297,651
5,28.516039,29.268571853637695,651
6,28.518955,29.278928756713867,651
7,28.523876,29.31035804748535,651
8,28.527979,29.350000381469727,651
9,28.527767,29.400358200073242,651
10,28.532293,29.45713996887207,651
11,28.539309,29.471071243286133,651
12,28.545216,29.501428604125977,651
13,28.551226,29.519287109375,651
14,28.560106,29.534997940063477,651
15,28.567211,29.54571533203125,651
16,28.576626,29.547500610351562,651
17,28.587791,29.574283599853516,651
18,28.592466,29.593568801879883,651
19,28.596472,29.600357055664062,651
20,28.60353,29.622142791748047,651
21,28.610104,29.632497787475586,651
22,28.619072,29.632497787475586,651
23,28.618843,29.62106704711914,651
24,28.615444,29.593568801879883,651
25,28.618069,29.5867862701416,651
26,28.624012,29.5867862701416,651
27,28.63779,29.599641799926758,651
28,28.648062,29.612497329711914,651
29,28.654936,29.612497329711914,651
30,28.657673,29.612497329711914,651
31,28.659948,29.62071418762207,651
32,28.664555,29.612497329711914,651
33,28.66987,29.62071418762207,651
34,28.677132,29.62071418762207,651
35,28.686642,29.63321304321289,651
36,28.695648,29.63321304321289,651
37,28.70565,29.641427993774414,651
38,28.713116,29.62071418762207,651
39,28.718279,29.604642868041992,651
40,28.726797,29.593568801879883,651
41,28.73358,29.593568801879883,651
42,28.735214,29.585357666015625,651
43,28.73761,29.612497329711914,651
44,28.745289,29.629287719726562,651
45,28.75828,29.66249656677246,651
46,28.774137,29.689285278320312,651
47,28.788906,29.69892692565918,651
48,28.800383,29.710355758666992,651
49,28.815104,29.723926544189453,651
50,28.828781,29.74464225769043,651
51,28.842222,29.749645233154297,651
52,28.857924,29.774282455444336,651
53,28.870794,29.778213500976562,651
54,28.887608,29.779998779296875,651
55,28.90889,29.78750228881836,651
56,28.931427,29.816431045532227,651
57,28.957548,29.825714111328125,651
58,28.980902,29.84214210510254,651
59,29.008377,29.868927001953125,651
60,29.035822,29.91607093811035,651
61,29.064907,29.948572158813477,651
62,29.094519,29.97928237915039,651
63,29.117746,30.02214241027832,651
64,29.139694,30.05107307434082,651
65,29.161242,30.05535888671875,651
66,29.181137,30.072856903076172,651
67,29.199848,30.079286575317383,651
68,29.21716,30.084997177124023,651
69,29.23182,30.087499618530273,651
70,29.247042,30.117143630981445,651
71,29.263927,30.11964225769043,651
72,29.277689,30.144285202026367,651
73,29.29154,30.156431198120117,651
74,29.309153,30.167499542236328,651
75,29.322004,30.197498321533203,651
76,29.33036,30.199642181396484,651
77,29.335077,30.20428466796875,651
78,29.339064,30.216426849365234,651
79,29.339298,30.220001220703125,651
80,29.337252,30.225717544555664,651
81,29.338547,30.22785758972168,651
82,29.341604,30.235000610351562,651
83,29.340954,30.241426467895508,651
84,29.33775,30.241426467895508,651
85,29.332806,30.241426467895508,651
86,29.32711,30.241426467895508,651
87,29.318233,30.235000610351562,651
88,29.3032,30.22785758972168,651
89,29.284988,30.221426010131836,651
90,29.265545,30.216426849365234,651
91,29.244095,30.197498321533203,651
92,29.224169,30.156431198120117,651
93,29.200092,30.10678482055664,651
94,29.177416,30.061786651611328,651
95,29.15565,30.042497634887695,651
96,29.131708,30.009286880493164,651
97,29.106693,29.97892951965332,651
98,29.081467,29.966426849365234,651
99,29.056335,29.954286575317383,651
100,29.034323,29.948930740356445,651
101,29.009949,29.901071548461914,651
102,28.981028,29.886428833007812,651
103,28.949392,29.8410701751709,651
104,28.917896,29.824644088745117,651
105,28.88274,29.762859344482422,651
106,28.84573,29.69464111328125,651
107,28.811405,29.663211822509766,651
108,28.78311,29.606430053710938,651
109,28.757626,29.474288940429688,651
110,28.73648,29.436071395874023,651
111,28.718199,29.406070709228516,651
112,28.692991,29.374643325805664,651
113,28.664623,29.32607078552246,651
114,28.637144,29.306066513061523,651
115,28.611097,29.297143936157227,651
116,28.585104,29.280359268188477,651
117,28.559254,29.226072311401367,651
118,28.529821,29.200714111328125,651
119,28.500246,29.171430587768555,651
120,28.473778,29.15642738342285,651
121,28.445078,29.10321044921875,651
122,28.414507,29.035356521606445,651
123,28.382927,29.00750160217285,651
124,28.35184,28.997499465942383,651
125,28.320843,28.979284286499023,651
126,28.288624,28.961427688598633,651
127,28.258139,28.955354690551758,651
128,28.231407,28.932497024536133,651
129,28.204336,28.909284591674805,651
130,28.173513,28.89143180847168,651
131,28.139101,28.8607120513916,651
132,28.107134,28.81642723083496,651
133,28.07827,28.77499771118164,651
134,28.050032,28.74321174621582,651
135,28.022135,28.731428146362305,651
136,27.993357,28.7117862701416,651
137,27.965912,28.69607162475586,651
138,27.935097,28.663211822509766,651
139,27.900745,28.599285125732422,651
140,27.863935,28.57249641418457,651
141,27.826658,28.511072158813477,651
142,27.789696,28.479642868041992,651
143,27.756231,28.46428871154785,651
144,27.719885,28.400354385375977,651
145,27.685295,28.34857177734375,651
146,27.649256,28.308927536010742,651
147,27.61251,28.293569564819336,651
148,27.573046,28.252498626708984,651
149,27.532743,28.19142723083496,651
150,27.489859,28.15142822265625,651
151,27.444181,28.114641189575195,651
152,27.397654,28.093570709228516,651
153,27.35773,28.031429290771484,651
154,27.31725,27.957141876220703,651
155,27.278648,27.941783905029297,651
156,27.24256,27.918569564819336,651
157,27.207853,27.886072158813477,651
158,27.169493,27.878925323486328,651
159,27.126085,27.811784744262695,651
160,27.081743,27.762496948242188,651
161,27.037544,27.730358123779297,651
162,26.995487,27.708927154541016,651
163,26.95492,27.68535804748535,651
164,26.91347,27.66392707824707,651
165,26.8723,27.60821533203125,651
166,26.830873,27.570356369018555,651
167,26.78854,27.541427612304688,651
168,26.74757,27.514284133911133,651
169,26.707954,27.45892906188965,651
170,26.669054,27.435714721679688,651
171,26.632713,27.394641876220703,651
172,26.596613,27.308929443359375,651
173,26.557976,27.245712280273438,651
174,26.517881,27.171783447265625,651
175,26.48216,27.15571403503418,651
176,26.444122,27.084285736083984,651
177,26.407846,27.022857666015625,651
178,26.371477,26.968215942382812,651
179,26.333984,26.9185733795166,651
180,26.298456,26.85142707824707,651
181,26.26648,26.827497482299805,651
182,26.237328,26.812143325805664,651
183,26.209002,26.790712356567383,651
184,26.177332,26.771072387695312,651
185,26.147547,26.740001678466797,651
186,26.11776,26.707855224609375,651
187,26.085848,26.674283981323242,651
188,26.054394,26.638568878173828,651
189,26.026203,26.601072311401367,651
190,25.99652,26.5721435546875,651
191,25.969807,26.524641036987305,651
192,25.945364,26.51214027404785,651
193,25.922026,26.46428871154785,651
194,25.89586,26.454639434814453,651
195,25.868586,26.43642807006836,651
196,25.841272,26.410356521606445,651
197,25.813353,26.3842830657959,651
198,25.785778,26.36107063293457,651
199,25.758944,26.335002899169922,651
200,25.733192,26.296430587768555,651
201,25.708351,26.247499465942383,651
202,25.682598,26.210712432861328,651
203,25.65703,26.181072235107422,651
204,25.632914,26.1535701751709,651
205,25.609024,26.123929977416992,651
206,25.583925,26.08642578125,651
207,25.562176,26.074283599853516,651
208,25.540344,26.044998168945312,651
209,25.522886,26.029638290405273,651
210,25.50754,26.004642486572266,651
211,25.493795,25.9903564453125,651
212,25.479782,25.974285125732422,651
213,25.46635,25.960355758666992,651
214,25.453053,25.945003509521484,651
215,25.440674,25.93214225769043,651
216,25.427252,25.93107032775879,651
217,25.413895,25.9278564453125,651
218,25.403597,25.92249870300293,651
219,25.39313,25.916784286499023,651
220,25.380947,25.908571243286133,651
221,25.369783,25.898929595947266,651
222,25.356684,25.88214111328125,651
223,25.343227,25.86928367614746,651
224,25.332119,25.831071853637695,651
225,25.324627,25.82428550720215,651
226,25.317516,25.809642791748047,651
227,25.310003,25.80857276916504,651
228,25.308065,25.80857276916504,651
229,25.309332,25.809642791748047,651
230,25.30821,25.80857276916504,651
231,25.305597,25.80857276916504,651
232,25.304333,25.80857276916504,651
233,25.303673,25.80857276916504,651
234,25.304249,25.799283981323242,651
235,25.304382,25.799283981323242,651
236,25.30925,25.810359954833984,651
237,25.317837,25.823928833007812,651
238,25.326664,25.832500457763672,651
239,25.336292,25.842144012451172,651
240,25.346828,25.867855072021484,651
241,25.359295,25.872859954833984,651
242,25.367914,25.88214111328125,651
243,25.375032,25.892141342163086,651
244,25.382866,25.901782989501953,651
245,25.393353,25.921783447265625,651
246,25.40505,25.943212509155273,651
247,25.417242,25.951786041259766,651
248,25.431196,25.979642868041992,651
249,25.444502,26.00107192993164,651
250,25.45931,26.00892448425293,651
251,25.476622,26.022857666015625,651
252,25.49721,26.040712356567383,651
253,25.5187,26.060714721679688,651
254,25.543058,26.116069793701172,651
255,25.566862,26.139284133911133,651
256,25.587843,26.172853469848633,651
257,25.6096,26.19285774230957,651
258,25.635744,26.214643478393555,651
259,25.655453,26.227140426635742,651
260,25.6732,26.247499465942383,651
261,25.697052,26.2785701751709,651
262,25.724987,26.332855224609375,651
263,25.749418,26.36357307434082,651
264,25.77338,26.374643325805664,651
265,25.795446,26.392499923706055,651
266,25.819134,26.414997100830078,651
267,25.840918,26.435354232788086,651
268,25.861889,26.458209991455078,651
269,25.882423,26.483213424682617,651
270,25.901842,26.495712280273438,651
271,25.918198,26.507858276367188,651
272,25.932383,26.522140502929688,651
273,25.954077,26.549640655517578,651
274,25.983206,26.57785415649414,651
275,26.008245,26.595712661743164,651
276,26.029234,26.60714340209961,651
277,26.052473,26.62892723083496,651
278,26.079817,26.66357421875,651
279,26.105978,26.674285888671875,651
280,26.13144,26.687143325805664,651
281,26.15871,26.7453556060791,651
282,26.185614,26.772140502929688,651
283,26.214918,26.801786422729492,651
284,26.24567,26.88642692565918,651
285,26.271698,26.925357818603516,651
286,26.296612,26.946430206298828,651
287,26.32366,26.9899959564209,651
288,26.355595,27.0625,651
289,26.387964,27.116073608398438,651
290,26.420494,27.154644012451172,651
291,26.454943,27.21285629272461,651
292,26.488092,27.235715866088867,651
293,26.521326,27.261783599853516,651
294,26.560614,27.305004119873047,651
295,26.601616,27.345714569091797,651
296,26.64372,27.37285804748535,651
297,26.686903,27.402141571044922,651
298,26.732506,27.456785202026367,651
299,26.774122,27.509641647338867,651
300,26.815449,27.541427612304688,651
301,26.855154,27.585359573364258,651
302,26.89532,27.608570098876953,651
303,26.93839,27.685714721679688,651
304,26.979656,27.712139129638672,651
305,27.01676,27.75178337097168,651
306,27.058132,27.814998626708984,651
307,27.105297,27.88071632385254,651
308,27.14782,27.910717010498047,651
309,27.184704,27.928926467895508,651
310,27.220215,27.946069717407227,651
311,27.2582,27.99714469909668,651
312,27.298895,28.0339298248291,651
313,27.341482,28.059642791748047,651
314,27.380238,28.075714111328125,651
315,27.421368,28.111785888671875,651
316,27.465796,28.168569564819336,651
317,27.506666,28.231430053710938,651
318,27.549028,28.24856948852539,651
319,27.58574,28.2646427154541,651
320,27.622875,28.31428337097168,651
321,27.66355,28.342500686645508,651
322,27.701757,28.377853393554688,651
323,27.740063,28.433929443359375,651
324,27.776188,28.470714569091797,651
325,27.807615,28.512144088745117,651
326,27.839712,28.540712356567383,651
327,27.874022,28.57785987854004,651
328,27.90832,28.636783599853516,651
329,27.939594,28.664642333984375,651
330,27.974499,28.706069946289062,651
331,28.010338,28.744644165039062,651
332,28.04619,28.794998168945312,651
333,28.083124,28.81535530090332,651
334,28.119041,28.829286575317383,651
335,28.151857,28.874286651611328,651
336,28.179573,28.881071090698242,651
337,28.204838,28.894641876220703,651
338,28.227898,28.9085693359375,651
339,28.254707,28.92678451538086,651
340,28.284035,28.933929443359375,651
341,28.314096,28.939640045166016,651
342,28.341944,28.958215713500977,651
343,28.364416,28.96500015258789,651
344,28.385443,28.96500015258789,651
345,28.408794,28.970714569091797,651
346,28.427923,28.98785400390625,651
347,28.443638,29.01392936706543,651
348,28.4569,29.015714645385742,651
349,28.467367,29.020355224609375,651
350,28.47677,29.020355224609375,651
351,28.483788,29.030712127685547,651
352,28.491995,29.036428451538086,651
353,28.50167,29.039997100830078,651
354,28.506126,29.043569564819336,651
355,28.509148,29.063570022583008,651
356,28.514215,29.073928833007812,651
357,28.521631,29.098928451538086,651
358,28.526384,29.117145538330078,651
359,28.526114,29.132143020629883,651
360,28.524734,29.165359497070312,651
361,28.517107,29.18392562866211,651
362,28.511152,29.18535804748535,651
363,28.50986,29.20571517944336,651
364,28.507584,29.20571517944336,651
365,28.506536,29.20571517944336,651
366,28.507614,29.207855224609375,651
